FID,LATITUDE,LONGITUDE,POCO,POCO_OPERA,BACIA,CAMPO,BLOCO,UF,TIPO,OPERADORA,RESULTADO,Acidente_mecanico,INICIO,TERMINO,CONCLUSAO,Concl_ano,platafor,ano_fabric,ID,Plataforma_nome,Lata_Velha
0,-26.081375,-46.31198889,1-VBEP-1-SPS,SABIA1X,Santos,,S-M-1100,SP,exploratorio,VANCO,,,7/7/2012,8/31/2012,,0,,0,0,,
1,-25.99241667,-46.13046389,1-VBEP-2-SPS,Canario-1X,Santos,,S-M-1036,SP,exploratorio,VANCO,,,9/22/2012,,,0,,0,0,,
2,-23.45742639,-40.64088361,3-BRSA-481-RJS,3RJS648,Campos,XERELETE,BC-2,RJ,exploratorio,TOTAL E&P BRASIL,produtor comercial de oleo,,2/25/2007,3/12/2007,5/4/2007,2007,,0,0,,
3,-23.41751667,-41.442175,6-STAT-2DP-RJS,6STAT2DPRJS,Campos,,C-M-529,RJ,exploratorio,STATOIL BRASIL,seco sem indicios de petroleo,,4/23/2011,4/27/2011,6/10/2011,2011,,0,0,,
4,-23.39668889,-41.37739722,3-STAT-6DP-RJS,3STAT6DPRJS,Campos,PEREGRINO,,RJ,exploratorio,STATOIL BRASIL,seco sem indicios de petroleo,,7/10/2011,7/16/2011,7/27/2011,2011,,0,0,,
5,-23.36786472,-41.3404075,3-PRG-1DA-RJS,3PRG1DARJS,Campos,PEREGRINO,BM-C-7,RJ,exploratorio,STATOIL BRASIL,produtor comercial de oleo,,6/4/2007,6/28/2007,6/30/2007,2007,,0,0,,
6,-23.29553139,-41.20745639,7-PRG-4H-RJS,BMC7B14,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,produtor comercial de oleo,,2/24/2011,3/25/2011,4/7/2011,2011,,0,0,,
7,-23.24553083,-41.20751972,7-PRG-2HB-RJS,BMC7B22T3,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,produtor comercial de oleo,,1/16/2011,2/3/2011,2/23/2011,2011,,0,0,,
8,-23.41751667,-41.442175,3-STAT-4DP-RJS,3STAT4DPRJS,Campos,,C-M-529,RJ,exploratorio,STATOIL BRASIL,portador de oleo,,5/25/2011,5/28/2011,6/8/2011,2011,,0,0,,
9,-23.41751667,-41.442175,3-STAT-3DP-RJS,3STAT3DPRJS,Campos,,C-M-529,RJ,exploratorio,STATOIL BRASIL,portador de oleo,,5/10/2011,5/13/2011,6/10/2011,2011,,0,0,,
10,-23.35119806,-41.3404075,3-PRG-1-RJS,3PRG1RJS,Campos,PEREGRINO,BM-C-7,RJ,exploratorio,STATOIL BRASIL,portador de oleo,,5/5/2007,6/3/2007,6/3/2007,2007,,0,0,,
11,-23.39668944,-41.37739778,3-STAT-5D-RJS,3PRG2DRJS,Campos,PEREGRINO,BM-C-7,RJ,exploratorio,STATOIL BRASIL,portador de oleo,,6/10/2011,7/1/2011,7/27/2011,2011,,0,0,,
12,-23.41751667,-41.442175,1-STAT-1D-RJS,PEREGRINO SUL,Campos,,C-M-529,RJ,exploratorio,STATOIL BRASIL,descobridor de nova jazida com oleo,,3/11/2011,4/9/2011,6/10/2011,2011,,0,0,,
13,-23.24553083,-41.20751972,7-PRG-2H-RJS,BMC7B22,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,abandonado por outras razoes,,11/10/2010,11/11/2010,11/15/2010,2010,,0,0,,
14,-23.24553083,-41.20751972,7-PRG-2HA-RJS,BMC7B22T2,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,abandonado por objetivo/alvo nao atingido,,11/17/2010,12/10/2010,1/12/2011,2011,,0,0,,
15,-23.33391972,-41.29803417,7-PRG-19HA-RJS,BMC7A09T2,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,6/17/2012,7/30/2012,,0,,0,0,,
16,-23.33391889,-41.29806583,7-PRG-8HPB-RJS,BMC7A13AT3,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,12/13/2011,12/29/2011,1/7/2012,2012,,0,0,,
17,-23.33389056,-41.29803333,7-PRG-9H-RJS,BMC7A3,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,6/16/2011,7/29/2011,8/22/2011,2011,,0,0,,
18,-23.29557472,-41.20750444,8-PRG-15D-RJS,BMC7B29A,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,2/7/2012,2/28/2012,3/6/2012,2012,,0,0,,
19,-23.29554556,-41.20750417,7-PRG-10H-RJS,BMC7B23,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,7/3/2011,7/26/2011,8/17/2011,2011,,0,0,,
20,-23.29553111,-41.20748806,7-PRG-5H-RJS,BMC7B18,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,,,3/3/2011,4/26/2011,5/8/2011,2011,,0,0,,
21,-23.29551694,-41.20744056,8-PRG-13D-RJS,BMC7B29,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,12/28/2011,1/25/2012,2/23/2012,2012,,0,0,,
22,-23.29548806,-41.20744028,7-PRG-20H-RJS,BMC7B03Y1,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,7/22/2012,8/24/2012,,0,,0,0,,
23,-23.29551694,-41.20744056,7-PRG-12H-RJS,BMC7B9,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,9/27/2011,10/20/2011,10/29/2011,2011,,0,0,,
24,-23.33391889,-41.29806583,7-PRG-6H-RJS,BMC7A13,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,,,4/23/2011,5/20/2011,5/30/2011,2011,,0,0,,
25,-23.33393333,-41.29808194,7-PRG-11H-RJS,BMC7A18,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,9/11/2011,10/18/2011,10/21/2011,2011,,0,0,,
26,-23.33391972,-41.29803417,7-PRG-19H-RJS,BMC7A09,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,6/7/2012,6/17/2012,,0,,0,0,,
27,-23.29550222,-41.20745611,7-PRG-7H-RJS,BMC7B08,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,,,5/14/2011,6/15/2011,7/1/2011,2011,,0,0,,
28,-23.33394833,-41.29806667,7-PRG-17H-RJS,BMC7A19T3,Campos,PEREGRINO,,RJ,desenvolvimento,STATOIL BRASIL,,,4/22/2012,5/13/2012,5/12/2012,2012,,0,0,,
29,-23.33383611,-41.29804972,7-PRG-3H-RJS,BMC7A08,Campos,PEREGRINO,BM-C-7,RJ,desenvolvimento,STATOIL BRASIL,,,2/5/2011,3/13/2011,4/16/2011,2011,,0,0,,
